b,qval,target_id,ens_gene,ext_gene
-1.03710983492062,0.000105710935192562,AC3.10,WBGene00004964,spe-10
-0.576568465543407,1.1842361833534899e-08,AC3.2,WBGene00007070,ugt-49
-0.670490158631614,1.5962352033359803e-05,AC3.7,WBGene00007072,ugt-1
-1.3845258310766202,0.000983584094009036,AC7.3,WBGene00014997,AC7.3
-0.9540005211973069,0.000927155967837398,AH10.1,WBGene00007082,acs-10
-0.8164075000052421,0.0006093167132362231,AH6.2,WBGene00007080,sfxn-1.1
-0.880093257592667,0.000138171872616917,AH6.3,WBGene00007081,AH6.3
0.46547340474675,9.099859990079829e-10,AH6.5,WBGene00003231,mex-6
0.273333298903999,0.0038417046063647705,B0019.2,WBGene00007094,B0019.2
-1.07979585057824,2.65543625718027e-06,B0025.5,WBGene00194700,B0025.5
0.255967363774884,0.000213185113671919,B0035.11,WBGene00007110,leo-1
-1.8917197048591101,2.2654403313718494e-108,B0035.13,WBGene00007112,B0035.13
0.251976517610163,0.000137807356222359,B0035.6,WBGene00007109,B0035.6
-1.4592710012176897,0.000862513859561632,B0041.1,WBGene00015006,B0041.1
-0.362088682162693,0.0038026520030429,B0041.4,WBGene00004415,rpl-4
-1.25779329366895,5.12435811329051e-05,B0205.10.2,WBGene00015024,B0205.10
-0.47698678794623905,1.04353397074729e-09,B0205.11,WBGene00015025,mrpl-9
-0.33147632545212896,5.9486421187849805e-08,B0205.7,WBGene00002191,kin-3
0.303691628073769,0.00016812049993077,B0205.9,WBGene00015023,B0205.9
-1.10210730104728,1.51670830205762e-05,B0207.1,WBGene00015026,B0207.1
-0.7912570164321491,0.00403381951601583,B0207.11,WBGene00015034,B0207.11
-1.29888033773089,0.0015596960687267,B0207.7,WBGene00015030,B0207.7
-0.9007702629313621,0.00323680046232047,B0207.9,WBGene00015032,B0207.9
-0.32042220616511896,0.0080908608186513,B0213.14,WBGene00015043,cyp-34A8
2.9046159267909504,9.91722739923386e-09,B0213.17,WBGene00015046,nlp-34
-0.63149733461933,1.3312502712293501e-07,B0213.2,WBGene00003765,nlp-27
0.6116102920930689,0.0005404111999319871,B0213.3,WBGene00003766,nlp-28
1.09311710986975,0.0011389324364703,B0213.4,WBGene00003767,nlp-29
-1.2171437980784199,5.235102864605281e-06,B0218.5,WBGene00015049,B0218.5
-0.921131164041657,9.133877952434429e-25,B0218.6a,WBGene00015050,clec-51
-1.17220306070348,1.5518853343088099e-09,B0218.7,WBGene00015051,B0218.7
-0.7328194965013499,0.00313505894202255,B0218.8,WBGene00015052,clec-52
0.9955219601624921,0.00055647903382796,B0222.3,WBGene00015055,pitr-3
-0.35292429293640504,0.0069722381396916605,B0222.5,WBGene00015056,B0222.5
-0.36635266734031496,4.1929747694358004e-05,B0228.4a,WBGene00015061,cpna-2
-0.9093001432984279,1.97071282383846e-14,B0228.4d,WBGene00015061,cpna-2
-0.6834416272119711,0.00805990085723093,B0228.7.2,WBGene00015064,B0228.7
0.189365678972177,0.007852762528542029,B0238.9,WBGene00015073,B0238.9
0.220719397787445,0.00201016122307735,B0240.4,WBGene00007118,npp-22
0.7188905973158459,0.00030217909821639397,B0244.10,WBGene00015085,B0244.10
0.31807525525924396,7.04485793191505e-05,B0244.8,WBGene00015083,egg-1
-1.06200219281787,4.9131240099045596e-08,B0244.9,WBGene00015084,B0244.9
-0.493316687949579,2.23872975705117e-14,B0250.5,WBGene00007122,B0250.5
-1.10022946292644,9.210092258197479e-06,B0252.5,WBGene00015089,B0252.5
-1.05908545909016,1.37290196173671e-06,B0261.6a,WBGene00015094,B0261.6
-0.45513252860792497,5.55418732768541e-09,B0272.3,WBGene00007129,B0272.3
-0.978641041722648,8.4007974005937e-06,B0273.1a,WBGene00015097,B0273.1
-1.02152160975968,1.17831952467792e-05,B0280.11,WBGene00015106,B0280.11
-0.8684123725484342,0.00601318209856088,B0280.17,WBGene00044674,B0280.17
0.311784188431035,0.000190326185715295,B0280.1a,WBGene00015099,ggtb-1
0.35831944664099,0.000323764301236179,B0280.5,WBGene00015102,cpg-2
1.46632588042175,6.025158680721511e-06,B0284.1,WBGene00007131,B0284.1
0.252759566397413,0.008587315718972529,B0285.3,WBGene00007136,B0285.3
0.29093654816288,7.91950205641885e-05,B0285.5,WBGene00002003,hse-5
-1.8700378499959298,9.317397088861218e-99,B0286.3,WBGene00015116,B0286.3
-1.31505080304324,0.0038902835235692704,B0294.1,WBGene00015117,B0294.1
-0.364349304700341,0.0022048098391669302,B0302.5,WBGene00015122,B0302.5
0.280764052842784,0.00919327749339908,B0304.2,WBGene00015134,B0304.2
0.5494938814747921,0.00012099551169213799,B0304.4,WBGene00015136,B0304.4
-0.804606753952685,5.187095650211799e-21,B0310.5,WBGene00015141,ugt-46
0.320971927594966,3.96604011282906e-06,B0334.8a,WBGene00000090,age-1
-0.345822721564405,3.76891084208048e-08,B0336.2.1,WBGene00000182,arf-1.2
0.198911079729008,0.0032599430548161897,B0336.3,WBGene00015143,B0336.3
-0.46385422188354997,8.69571585708785e-12,B0350.2a,WBGene00006780,unc-44
-1.0733633542124301,0.000109135637226525,B0361.11,WBGene00015165,B0361.11
0.272569110095026,1.2004670749606401e-05,B0365.1,WBGene00007150,acly-2
-0.690397808420859,6.904658703913679e-18,B0379.1a,WBGene00007155,B0379.1
-1.05658039414721,3.7169004180012396e-06,B0379.2,WBGene00007156,B0379.2
-1.14764226175859,0.00130505111000058,B0379.7.1,WBGene00007159,B0379.7
0.782122056638274,0.00489299715227777,B0391.5,WBGene00007162,fbxa-153
-0.39912041454223,0.0019960885063580198,B0393.1.2,WBGene00004469,rps-0
0.379688682723918,1.07938389983459e-05,B0393.3,WBGene00007168,B0393.3
-1.14442046595722,0.0019413307968848602,B0393.4,WBGene00007169,B0393.4
0.27650431961658506,0.000296328077931254,B0393.6,WBGene00007171,B0393.6
-0.6870129660618411,1.30241427950266e-05,B0410.3,WBGene00015172,B0410.3
-0.225515061919536,0.00444118261772034,B0412.4,WBGene00004498,rps-29
0.24567386690507897,0.000126257725838121,B0414.5,WBGene00000772,cpb-3
0.33967487463524604,0.000274642223267346,B0414.7a,WBGene00003472,mtk-1
0.300613322127525,2.0301527572698497e-05,B0414.8a,WBGene00015176,vps-51
-0.648430702100687,0.00535719878419266,B0432.12,WBGene00015193,clec-117
0.395296193157195,0.00436574495567684,B0454.1,WBGene00002997,lin-8
-0.6084221515208841,0.000162820200280137,B0454.5,WBGene00015196,B0454.5
0.447357420563678,0.0048143086907318,B0454.9,WBGene00015200,B0454.9
0.36024563523334896,0.000489557828680872,B0457.1a,WBGene00002251,lat-1
1.77231379731017,0.0019181472303784399,B0462.5,WBGene00194695,B0462.5
0.176017319529817,0.00950456715365796,B0464.2a,WBGene00007184,ctr-9
